2019-08-10 22:50:07,"b'[JOB ALERT] Queens University is hiring a #DataAnalyst in Kingston, ON, Canada. Interested? Check it out https://t.co/q9EPHsFW2O #DataJobs'"
2019-08-10 14:00:56,"b""Our client, one of the UK's largest property owners, is looking for a #dataanalyst to join their team. If you think\xe2\x80\xa6 https://t.co/I6AH758po5"""
2019-08-09 16:53:00,"b'Lead Business Intelligence Expert | Hamburg | 75,000\xe2\x82\xac - 95,000\xe2\x82\xac. For more information and how to apply please conta\xe2\x80\xa6 https://t.co/cr3gkrlKeC'"
2019-08-09 12:27:43,b'RT @CESSDA_Data: #DataJobs #DataAccess Assistant at our #UK Service Provider @UKDataArchive @UKDataService Apply now! #data https://t.co/dz\xe2\x80\xa6'
2019-08-09 10:37:02,b'#DataJobs #DataAccess Assistant at our #UK Service Provider @UKDataArchive @UKDataService Apply now! #data https://t.co/dzbFtyDQnC'
2019-08-09 09:23:11,"b""\xf0\x9f\x94\xa5 Don't miss these smoking #DataJobs \xf0\x9f\x94\xa5 \nand visit our website for more roles https://t.co/O62FzGl5l8: \n\xf0\x9f\x8c\xaaQlik Sense\xe2\x80\xa6 https://t.co/E9sR4LpEwB"""
2019-08-08 21:48:42,"b'After hours stuck on an inefficient join across multiple tables, dimension naming conventions step in to save the f\xe2\x80\xa6 https://t.co/9Zk7GEjTv8'"
2019-08-08 09:40:07,b'*Lead Data Developer required* to join reputable consultancy. Fantastic employer offering flexible/home working and\xe2\x80\xa6 https://t.co/Bld6Dfz985'
2019-08-08 09:00:00,b'Data wizards wanted!\n#UKJobs #DataScience #DataEngineer #DataScientists #DataAnalytics #ITJobsNearYou #ITJobs\xe2\x80\xa6 https://t.co/oTngwRIZHA'
2019-08-07 22:50:15,"b'[JOB ALERT] Queens University is hiring a #DataAnalyst in Kingston, ON, Canada. Interested? Check it out https://t.co/q9EPHsXwUm #DataJobs'"
2019-08-07 22:20:22,"b'RT @1stSanFrancisco: Interesting! &gt;&gt; Why 2,000 People Applied for These 35 Special Jobs at HSBC \n\n#datalake #datajobs #datascience #fintech\xe2\x80\xa6'"
2019-08-07 19:21:02,"b""With more opportunities available every day, I'd love to chat about your data career.\n\na.costello@austinfraser.com\xe2\x80\xa6 https://t.co/pDZUsZleix"""
2019-08-07 17:40:01,"b'Interesting! &gt;&gt; Why 2,000 People Applied for These 35 Special Jobs at HSBC \n\n#datalake #datajobs #datascience\xe2\x80\xa6 https://t.co/fYR7Up8Y2h'"
2019-08-07 12:18:39,"b'RT @SciGrads: #Job vacancy | Scientific Data Curator PDB / EMDB, @EMBLEBI Hinxton, Cambridgeshire, #UK https://t.co/w7v96Ku1yH \xf0\x9f\x94\x97\n\nApply by\xe2\x80\xa6'"
2019-08-07 11:59:41,"b'#Job vacancy | Scientific Data Curator PDB / EMDB, @EMBLEBI Hinxton, Cambridgeshire, #UK https://t.co/w7v96Ku1yH \xf0\x9f\x94\x97\xe2\x80\xa6 https://t.co/zYAdTFkWhu'"
2019-08-07 10:02:55,b'RT @dataiku: How can you build a successful data science team into your product team? |  https://t.co/iUTOwT6a3j by @djpardis #datascience\xe2\x80\xa6'
2019-08-07 10:00:59,b'How can you build a successful data science team into your product team? |  https://t.co/iUTOwT6a3j by @djpardis\xe2\x80\xa6 https://t.co/Sk982Z7pHS'
2019-08-06 13:16:58,"b'RT @TogetherHG: We are looking for a new full time, permanent Graduate Data Scientist to work in Blackburn or Wakefield\n\nIf you are looking\xe2\x80\xa6'"
2019-08-06 11:22:10,"b'RT @TogetherHG: We are looking for a new full time, permanent Graduate Data Scientist to work in Blackburn or Wakefield\n\nIf you are looking\xe2\x80\xa6'"
2019-08-06 10:52:33,b'RT @HolovisInt: New career opportunities have been posted! Get in quick if you\xe2\x80\x99re looking to join a globally growing company working on cut\xe2\x80\xa6'
2019-08-06 08:37:17,"b'Position: #Analyst - Data Analytics, Content\nCompany: Z-Ben Advisors\nSalary: 1,200 - 2,000 USD/Month\nLocation:\xe2\x80\xa6 https://t.co/7Of1JQS8uu'"
2019-08-06 08:20:26,"b'RT @TogetherHG: We are looking for a new full time, permanent Graduate Data Scientist to work in Blackburn or Wakefield\n\nIf you are looking\xe2\x80\xa6'"
